foot,足,"""Do you see the dude doing a flying dragon kick to the right? What does he hit the target with? Obviously it's his <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">foot</span>.""",,369,level4 radical
forehead,冖,"""Sure, this <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">forehead</span> is a bit square, but that's because it's Frankenstein's Monster's forehead. Also, did you notice that this is just the top part of the head (<span lang=""""ja"""">冂</span>) radical? This is just the forehead part of that!""",,370,level4 radical
horns,,"""Can you see the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">horns</span>? You could put these horns on anything. Donkeys, people, monkeys, and so on. That's exactly what we'll be doing when we learn kanji that have horns too.""","""<i class=""""radical-horns""""></i>""",371,level4 radical
insect,虫,"""There is something private in your mouth. You're keeping it private because you don't want other people to judge you. Why? Because it's an <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">insect</span>. You like to eat insects, but society seems to think it's wrong. Don't worry, friend. Someday the rest of the world will embrace eating insects like you have.""",,372,level4 radical
leader,ｲ,"""This radical technically means person (like <span lang=""""ja"""">人</span>), but we're going to shift the meaning a little bit. It's kind of like the person radical, but it's taller and skinnier, standing above the rest of those peons. That's why this is a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">leader</span>, not a regular old person.""",,373,level4 radical
loiter,彳,"""The leader (<span lang=""""ja"""">ｲ</span>) radical has a little something extra on top of him, holding him down, holding him back. It's causing him to wait... it's causing him to <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">loiter</span>.""",,374,level4 radical
master,主,"""This king has a drop of water floating above his head. That's because he's not just a king, he's the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">master</span> of water. Master of elements. Master of ALL THINGS!""",,375,level4 radical
measurement,寸,"""Have you ever used one of those math compasses? This looks just like one of those because this is the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">measurement</span> radical. Compasses are used to measure things, just like this.""",,376,level4 radical
not,不,"""If you see this radical in a kanji, you'll want to think of the opposite of whatever other radicals there are. It looks a lot like """"below,"""" but guess what? It's <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">not</span> the below radical. It's just not.""",,377,level4 radical
pi,兀,"""Obviously, this looks just like the good ol' 3.14 something-something all people are supposed to learn about. It's the math symbol that has to do with circles... <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">pi</span>!""",,378,level4 radical
plate,皿,"""This is a few <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">plate</span>s drying on a rack. They're stacked together in a line. Imagine reaching out and grabbing one of those plates for yourself.""",,379,level4 radical
red,赤,"""There are some legs and fins under the dirt. Imagine yourself looking at all of these severed limbs... there's blood everywhere. No matter how deep you dig, everything is stained <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">red</span>.""",,380,level4 radical
rice,米,"""Not to be confused with a rice paddy (<span lang=""""ja"""">田</span>). This is just raw <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">rice</span>, like the grain that grows out of the ground when rice is raw and fresh. When rice is particularly ripe, it'll kind of look like this at the top of the stalks. See the long leaves with the little rice tufts at the top? That's why this radical is """"rice.""""""",,381,level4 radical
